Name,Address,Location,Country,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Spring Moon,"1F, The Peninsula Hotel, Salisbury Road, Hong Kong",,Hong Kong,$$$,Cantonese,114.17182,22.294943,+85226966760,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/spring-moon,https://www.peninsula.com/en/hong-kong/5-star-luxury-hotel-kowloon,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Yardbird,"154-158 Wing Lok Street, Hong Kong",,Hong Kong,$$,Yakitori,114.1492298,22.2869992,+85225479273,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/yardbird,http://yardbirdrestaurant.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card"
Arcane,"3F, 18 On Lan Street, Hong Kong",,Hong Kong,$$$,European Contemporary,114.1567744,22.2806189,+85227280178,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/arcane,http://www.arcane.hk,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access"
Petrus,"56F, Island Shangri-La Hotel, Pacific Place, Supreme Court Road, Hong Kong",,Hong Kong,$$$,French,114.16434,22.27746,+85228208590,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/petrus,https://www.shangri-la.com/hongkong/islandshangrila/dining/restaurants/restaurant-petrus/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Seventh Son,"3F, The Wharney Hotel, 57-73 Lockhart Road, Hong Kong",,Hong Kong,$$,Cantonese,114.1710507,22.2783246,+85228922888,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/seventh-son,https://www.seventhson.hk/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access"
Mandarin Grill + Bar,"1F, Mandarin Oriental Hotel, 5 Connaught Road Central, Hong Kong",,Hong Kong,$$$$,European Contemporary,114.1593485,22.2821483,+85228254004,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar,https://www.mandarinoriental.com/hong-kong/victoria-harbour/luxury-hotel,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Xin Rong Ji,"GF & 1F, China Overseas Building, 139 Lockhart Road, Hong Kong",,Hong Kong,$$$,Taizhou,114.17273,22.278013,+85234623518,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji,,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card,Wheelchair access"
Loaf On,"49 See Cheung Street, Hong Kong",,Hong Kong,$$,Seafood,114.27188,22.379858,+85227929966,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/loaf-on,,1 MICHELIN Star,"Air conditioning,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Sushi Saito,"45F, Four Seasons Hotel, 8 Finance Street, Hong Kong",,Hong Kong,$$$$,Sushi,114.15677,22.286467,+85225270811,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/sushi-saito,https://www.fourseasons.com/hongkong/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Maestro,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access"
Roganic,"Shop 8, UG Level, Sino Plaza, 255 Gloucester Road, Hong Kong",,Hong Kong,$$$,European Contemporary,114.1821991,22.2813924,+85228178383,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/roganic1185143,https://www.roganic.com.hk/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
